iso3,country,continent,subcontinent
ABW,Aruba,Unknown,Unknown
AFG,Afghanistan,Unknown,Unknown
AGO,Angola,Africa,Sub-Saharan Africa
AIA,Anguilla,Unknown,Unknown
ALA,Åland Islands,Unknown,Unknown
ALB,Albania,Europe,Europe (General)
AND,Andorra,Europe,Europe (General)
ARE,United Arab Emirates,Asia,Western Asia
ARG,Argentina,South America,South America
ARM,Armenia,Unknown,Unknown
ASM,American Samoa,Unknown,Unknown
ATA,Antarctica,Unknown,Unknown
ATF,French Southern Territories,Unknown,Unknown
ATG,Antigua and Barbuda,Unknown,Unknown
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Europe (General)
AZE,Azerbaijan,Unknown,Unknown
BDI,Burundi,Unknown,Unknown
BEL,Belgium,Europe,Europe (General)
BEN,Benin,Unknown,Unknown
BES,"Bonaire, Sint Eustatius and Saba",Unknown,Unknown
BFA,Burkina Faso,Unknown,Unknown
BGD,Bangladesh,Asia,Southern Asia
BGR,Bulgaria,Europe,Europe (General)
BHR,Bahrain,Asia,Western Asia
BHS,Bahamas,Unknown,Unknown
BIH,Bosnia and Herzegovina,Europe,Europe (General)
BLM,Saint Barthélemy,Unknown,Unknown
BLR,Belarus,Europe,Europe (General)
BLZ,Belize,Unknown,Unknown
BMU,Bermuda,Unknown,Unknown
BOL,"Bolivia, Plurinational State of",South America,South America
BRA,Brazil,South America,South America
BRB,Barbados,Unknown,Unknown
BRN,Brunei Darussalam,Unknown,Unknown
BTN,Bhutan,Asia,Southern Asia
BVT,Bouvet Island,Unknown,Unknown
BWA,Botswana,Africa,Sub-Saharan Africa
CAF,Central African Republic,Unknown,Unknown
CAN,Canada,North America,Northern America
CCK,Cocos (Keeling) Islands,Unknown,Unknown
CHE,Switzerland,Europe,Europe (General)
CHL,Chile,South America,South America
CHN,China,Asia,Eastern Asia
CIV,Côte d'Ivoire,Unknown,Unknown
CMR,Cameroon,Africa,Sub-Saharan Africa
COD,"Congo, The Democratic Republic of the",Unknown,Unknown
COG,Congo,Unknown,Unknown
COK,Cook Islands,Unknown,Unknown
COL,Colombia,South America,South America
COM,Comoros,Unknown,Unknown
CPV,Cabo Verde,Unknown,Unknown
CRI,Costa Rica,Unknown,Unknown
CUB,Cuba,Unknown,Unknown
CUW,Curaçao,Unknown,Unknown
CXR,Christmas Island,Unknown,Unknown
CYM,Cayman Islands,Unknown,Unknown
CYP,Cyprus,Europe,Europe (General)
CZE,Czechia,Europe,Europe (General)
DEU,Germany,Europe,Europe (General)
DJI,Djibouti,Unknown,Unknown
DMA,Dominica,Unknown,Unknown
DNK,Denmark,Europe,Europe (General)
